time	T hot	T water	T cold	mBar
16:06:34	25.0	25.2	25.0	7476
16:06:36	24.9	25.2	25.0	7475
16:06:38	25.0	25.2	25.0	7476
16:06:39	25.0	25.2	25.0	7475
16:06:41	25.0	25.2	25.0	7475
16:06:42	25.0	25.2	25.0	7473
16:06:44	25.0	25.3	25.0	7473
16:06:45	25.0	25.3	25.0	7472
16:06:47	25.0	25.3	25.0	7472
16:06:49	25.0	25.3	25.0	7471
16:06:50	24.9	25.3	25.0	7470
16:06:52	24.9	25.3	25.0	7470
16:06:53	25.0	25.2	25.0	7470
16:06:55	25.0	25.2	25.0	7467
16:06:57	25.0	25.2	25.0	7467
16:06:58	25.0	25.2	25.0	7467
16:07:00	25.0	25.2	25.0	7468
16:07:01	24.9	25.1	25.0	7468
16:07:03	25.0	25.1	25.0	7467
16:07:04	25.0	25.2	25.0	7467
16:07:06	25.0	25.2	25.0	7465
16:07:08	24.9	25.2	25.0	7465
16:07:09	24.9	25.2	25.0	7463
16:07:11	24.9	25.2	25.0	7462
16:07:12	25.0	25.3	25.0	7463
16:07:14	25.0	25.2	25.0	7462
16:07:16	24.9	25.2	25.0	7462
16:07:17	24.9	25.2	25.0	7461
16:07:19	24.9	25.2	25.0	7462
16:07:20	25.0	25.2	25.0	7461
16:07:22	24.9	25.2	25.0	7462
16:07:24	25.0	25.2	25.0	7461
16:07:25	25.0	25.2	25.0	7460
16:07:27	25.0	25.2	25.0	7460
16:07:28	25.0	25.2	25.0	7457
16:07:30	25.0	25.2	25.0	7458
16:07:31	25.0	25.3	25.0	7457
16:07:33	25.0	25.2	25.0	7457
16:07:35	25.0	25.3	25.0	7457
16:07:36	25.0	25.3	25.0	7452
16:07:38	25.0	25.3	25.0	7455
16:07:39	24.9	25.3	24.9	7452
16:07:41	24.9	25.3	24.9	7453
16:07:43	25.0	25.2	25.0	7453
16:07:44	25.0	25.2	25.0	7452
16:07:46	25.0	25.2	25.0	7450
16:07:47	24.9	25.2	25.0	7451
16:07:49	24.9	25.2	24.9	7451
16:07:50	24.9	25.2	25.0	7450
16:07:52	25.0	25.2	25.0	7450
16:07:54	25.0	25.2	25.0	7451
16:07:55	25.0	25.2	25.0	7450
16:07:57	25.0	25.2	25.0	7450
16:07:58	25.0	25.2	25.0	7449
16:08:00	25.0	25.2	25.0	7449
16:08:02	25.0	25.2	25.0	7449
16:08:03	25.0	25.2	25.0	7446
16:08:05	25.0	25.2	25.0	7447
16:08:06	25.0	25.2	25.0	7446
16:08:08	25.0	25.2	25.0	7447
16:08:09	25.0	25.2	25.0	7447
16:08:11	25.0	25.2	25.0	7446
16:08:13	25.0	25.3	25.0	7444
