time	T cell	T cold	mBar
10:49:34	-43.5	-42.5	5236
10:49:36	-43.5	-42.5	5216
10:49:38	-43.6	-42.5	5211
10:49:39	-43.6	-42.6	5195
10:49:41	-43.6	-42.7	5190
10:49:42	-43.7	-42.7	5173
10:49:44	-43.6	-42.7	5166
10:49:45	-43.7	-42.7	5147
10:49:47	-43.8	-42.8	5130
10:49:49	-43.9	-42.9	5124
10:49:50	-43.9	-42.9	5106
10:49:52	-43.9	-43.0	5088
10:49:53	-44.0	-43.0	5075
10:49:55	-44.1	-43.1	5067
10:49:57	-44.1	-43.1	5055
10:49:58	-44.2	-43.2	5044
10:50:00	-44.2	-43.2	5030
10:50:01	-44.3	-43.2	5019
10:50:03	-44.4	-43.3	5010
10:50:05	-44.4	-43.3	4998
10:50:06	-44.4	-43.3	4992
10:50:08	-44.5	-43.4	4976
10:50:09	-44.4	-43.4	4972
10:50:11	-44.5	-43.5	4961
10:50:13	-44.6	-43.6	4955
10:50:14	-44.6	-43.6	4942
10:50:16	-44.6	-43.6	4934
10:50:17	-44.6	-43.7	4921
10:50:19	-44.7	-43.7	4915
10:50:20	-44.7	-43.8	4903
10:50:22	-44.8	-43.8	4895
10:50:24	-44.9	-43.8	4884
10:50:25	-44.9	-43.9	4862
10:50:27	-44.9	-43.9	4853
10:50:28	-45.0	-44.0	4845
10:50:30	-45.0	-44.0	4837
10:50:31	-45.0	-44.0	4826
10:50:33	-45.0	-44.0	4821
10:50:35	-45.0	-44.1	4809
10:50:36	-45.0	-44.1	4804
10:50:38	-45.1	-44.1	4794
10:50:39	-45.1	-44.2	4789
10:50:41	-45.2	-44.2	4780
10:50:43	-45.3	-44.2	4773
10:50:44	-45.3	-44.3	4763
10:50:46	-45.4	-44.3	4754
10:50:47	-45.3	-44.3	4746
10:50:49	-45.4	-44.4	4736
10:50:50	-45.4	-44.4	4733
10:50:52	-45.5	-44.5	4723
10:50:54	-45.5	-44.5	4720
10:50:55	-45.5	-44.6	4707
10:50:57	-45.5	-44.6	4706
10:50:58	-45.4	-44.6	4694
10:51:00	-45.5	-44.7	4690
10:51:01	-44.8	-44.7	5066
10:51:03	-44.7	-44.5	4931
10:51:05	-39.4	-44.2	7851
10:51:06	-39.2	-43.0	7942
10:51:08	-41.7	-41.7	7971
10:51:09	-42.2	-40.5	7854
10:51:11	-41.0	-39.5	7377
10:51:13	-39.2	-38.8	6894
10:51:14	-39.8	-38.4	6775
10:51:16	-39.5	-38.3	6623
10:51:17	-39.7	-38.3	6578
10:51:19	-39.5	-38.4	6513
10:51:20	-39.6	-38.4	6472
10:51:22	-39.6	-38.6	6426
10:51:24	-39.6	-38.7	6409
10:51:25	-39.6	-38.8	6371
10:51:27	-39.7	-38.8	6357
10:51:28	-39.8	-39.0	6326
10:51:30	-39.7	-39.1	6295
10:51:32	-39.9	-39.2	6276
10:51:33	-40.0	-39.3	6236
10:51:35	-40.0	-39.4	6228
10:51:36	-40.0	-39.5	6203
10:51:38	-40.2	-39.5	6184
10:51:39	-40.2	-39.6	6159
10:51:41	-40.3	-39.7	6149
10:51:43	-40.3	-39.8	6122
10:51:44	-40.3	-39.9	6111
10:51:46	-40.3	-40.0	6083
10:51:47	-40.5	-40.1	6066
10:51:49	-40.7	-40.1	6038
10:51:51	-40.7	-40.2	6019
10:51:52	-40.8	-40.2	5992
10:51:54	-40.8	-40.3	5963
10:51:55	-40.7	-40.4	5953
10:51:57	-40.8	-40.4	5927
10:51:58	-41.0	-40.5	5911
10:52:00	-41.1	-40.6	5890
10:52:02	-41.2	-40.7	5880
10:52:03	-41.2	-40.7	5854
10:52:05	-41.3	-40.8	5845
10:52:06	-41.3	-40.9	5822
10:52:08	-41.3	-41.0	5802
10:52:09	-41.4	-41.1	5770
10:52:11	-41.5	-41.1	5757
10:52:13	-41.6	-41.2	5734
10:52:14	-41.7	-41.2	5710
10:52:16	-41.7	-41.3	5702
10:52:17	-41.8	-41.3	5676
10:52:19	-41.8	-41.4	5669
10:52:21	-41.9	-41.5	5649
10:52:22	-42.0	-41.6	5633
10:52:24	-42.1	-41.6	5614
10:52:25	-42.2	-41.7	5600
10:52:27	-42.3	-41.7	5580
10:52:28	-42.3	-41.7	5572
10:52:30	-42.3	-41.8	5541
10:52:32	-42.3	-41.8	5530
10:52:33	-42.3	-41.9	5512
10:52:35	-42.4	-42.0	5494
10:52:36	-42.5	-42.0	5482
10:52:38	-42.6	-42.0	5461
10:52:40	-42.7	-42.1	5449
10:52:41	-42.7	-42.2	5431
10:52:43	-42.8	-42.3	5427
10:52:44	-42.7	-42.3	5405
10:52:46	-42.9	-42.5	5398
10:52:48	-42.9	-42.4	5379
10:52:49	-42.9	-42.5	5358
10:52:51	-43.1	-42.5	5346
10:52:52	-43.1	-42.6	5321
10:52:54	-43.1	-42.6	5311
10:52:56	-43.3	-42.7	5291
10:52:57	-43.3	-42.7	5289
10:52:59	-43.3	-42.8	5272
10:53:00	-43.3	-42.9	5262
10:53:02	-43.3	-42.9	5249
10:53:03	-43.4	-43.0	5234
10:53:05	-43.5	-43.0	5220
10:53:07	-43.5	-43.1	5217
10:53:08	-43.7	-43.1	5199
10:53:10	-43.7	-43.2	5182
10:53:11	-43.7	-43.2	5179
10:53:13	-43.7	-43.2	5161
10:53:15	-43.7	-43.3	5156
10:53:16	-43.8	-43.3	5142
10:53:18	-43.8	-43.3	5129
10:53:19	-43.9	-43.4	5116
10:53:21	-44.0	-43.5	5103
10:53:22	-44.0	-43.5	5076
10:53:24	-44.1	-43.6	5076
10:53:26	-44.2	-43.6	5060
10:53:27	-44.2	-43.7	5044
10:53:29	-44.2	-43.7	5044
10:53:30	-44.2	-43.8	5028
10:53:32	-44.2	-43.8	5020
10:53:34	-44.2	-43.9	5005
10:53:35	-44.4	-43.9	4994
10:53:37	-44.4	-43.9	4983
10:53:38	-44.5	-44.0	4977
10:53:40	-44.5	-44.0	4962
10:53:41	-44.5	-44.0	4961
10:53:43	-44.4	-44.1	4949
10:53:45	-44.6	-44.1	4940
10:53:46	-44.5	-44.1	4926
10:53:48	-44.7	-44.2	4919
10:53:49	-44.7	-44.2	4906
10:53:51	-44.8	-44.2	4897
10:53:52	-44.9	-44.3	4888
10:53:54	-44.9	-44.4	4868
10:53:56	-44.9	-44.4	4868
10:53:57	-44.8	-44.4	4850
10:53:59	-44.9	-44.5	4846
10:54:00	-44.9	-44.5	4835
10:54:02	-45.0	-44.5	4824
10:54:04	-45.0	-44.5	4817
10:54:05	-45.1	-44.6	4811
10:54:07	-45.1	-44.6	4800
10:54:08	-45.2	-44.7	4800
10:54:10	-45.3	-44.7	4789
10:54:11	-45.3	-44.7	4781
10:54:13	-45.2	-44.7	4773
10:54:15	-45.3	-44.8	4763
10:54:16	-45.3	-44.9	4754
10:54:18	-45.4	-44.8	4746
10:54:19	-45.4	-44.9	4737
10:54:21	-45.5	-44.9	4731
10:54:22	-45.6	-45.0	4726
10:54:24	-45.6	-45.0	4715
10:54:26	-45.5	-45.1	4713
10:54:27	-45.6	-45.1	4703
10:54:29	-45.6	-45.2	4697
10:54:30	-45.6	-45.1	4690
10:54:32	-45.6	-45.2	4679
10:54:33	-45.7	-45.2	4673
10:54:35	-45.8	-45.3	4668
10:54:37	-45.9	-45.3	4660
10:54:38	-45.9	-45.3	4656
10:54:40	-45.9	-45.4	4648
10:54:41	-45.9	-45.4	4624
10:54:43	-45.8	-45.3	4625
10:54:45	-45.9	-45.4	4617
10:54:46	-45.8	-45.4	4609
10:54:48	-45.9	-45.4	4603
10:54:49	-46.0	-45.4	4595
10:54:51	-46.0	-45.5	4591
10:54:52	-46.1	-45.5	4588
10:54:54	-46.1	-45.5	4581
10:54:56	-46.1	-45.5	4581
10:54:57	-46.1	-45.6	4570
10:54:59	-46.1	-45.6	4565
10:55:00	-46.1	-45.6	4559
10:55:02	-46.1	-45.6	4551
10:55:03	-46.1	-45.7	4543
10:55:05	-46.3	-45.7	4539
10:55:07	-46.3	-45.7	4534
10:55:08	-46.4	-45.8	4524
10:55:10	-46.3	-45.8	4525
